cl,cd,
0.602137575,0.008924583,
0.545284115,0.009036439,
0.490291648,0.009107396,
0.409919836,0.009302221,
0.778207151,0.009403618,
0.686110519,0.009173913,
0.34822849,0.009497886,
0.840886683,0.009699046,
0.295690639,0.009719585,
0.209810584,0.010048226,
0.902865649,0.010016816,
0.961665995,0.010631758,
1.002005688,0.011311823,
1.043204028,0.012244519,
1.071787924,0.013037832,
1.103697427,0.013903739,
1.147882017,0.014840375,
1.196492005,0.01583854,
1.260507605,0.016492479,
1.297690979,0.017551638,
1.311261078,0.018679722,
1.316913379,0.019697972,
