CL,CD
-0.7223,0.0814
-0.7608,0.0726
-0.7828,0.0665
-0.808,0.0603
-0.831,0.0545
-0.857,0.0488
-0.874,0.0447
-0.8937,0.0411
-0.9159,0.0383
-0.9234,0.0358
-0.9106,0.0337
-0.8987,0.032
-0.884,0.0305
-0.8601,0.0291
-0.8444,0.0276
-0.8231,0.026
-0.7951,0.0249
-0.7739,0.0239
-0.7501,0.023
-0.7209,0.0221
-0.6912,0.021
-0.6705,0.0201
-0.6443,0.0194
-0.6125,0.0187
-0.582,0.0177
-0.5475,0.0169
-0.5273,0.0163
-0.4983,0.0156
-0.4646,0.0149
-0.4266,0.0144
-0.3899,0.0138
-0.3704,0.0133
-0.3375,0.0129
-0.3013,0.0124
-0.2765,0.0121
-0.2465,0.0118
-0.2099,0.0115
-0.1889,0.0113
-0.1569,0.0111
-0.1314,0.011
-0.1035,0.0107
-0.0768,0.0106
-0.0509,0.0104
-0.0246,0.0103
0.0009,0.0101
0.0518,0.0098
0.0753,0.0097
0.102,0.0096
0.124,0.0095
0.1491,0.0094
0.1725,0.0093
0.1962,0.0092
0.2201,0.0091
0.2427,0.0091
0.2663,0.009
0.289,0.0089
0.3117,0.0089
0.3342,0.0088
0.3555,0.0087
0.3763,0.0086
0.3953,0.0084
0.4127,0.0082
0.4297,0.0081
0.4468,0.0079
0.4669,0.0078
0.5376,0.0078
0.6155,0.0081
0.6568,0.0084
0.6936,0.0086
0.7343,0.0088
0.7769,0.009
0.8247,0.0091
0.8487,0.0092
0.8663,0.0093
0.8838,0.0094
0.9013,0.0096
0.9182,0.0097
0.9353,0.0098
0.9525,0.01
0.9704,0.0101
0.9883,0.0102
1.0049,0.0104
1.0222,0.0105
1.0363,0.0107
1.0525,0.0109
1.0667,0.011
1.0835,0.0112
1.099,0.0114
1.1161,0.0116
1.1318,0.0118
1.1489,0.012
1.164,0.0123
1.1818,0.0126
1.1969,0.0129
1.2128,0.0132
1.2288,0.0136
1.2431,0.014
1.2562,0.0144
1.2688,0.015
1.2808,0.0156
1.2927,0.0162
1.3049,0.0168
1.3167,0.0175
1.3281,0.0182
1.3381,0.0191
1.3593,0.0208
1.3691,0.0217
1.3789,0.0227
1.3888,0.0237
1.3969,0.0248
1.4066,0.0259
1.4156,0.0271
1.4218,0.0285
1.432,0.0296
1.437,0.0312
1.4457,0.0325
1.4517,0.0341
1.4562,0.0359
1.4623,0.0376
1.4646,0.0397
1.4688,0.0417
1.4697,0.044
1.4688,0.0466
1.4685,0.0492
1.4636,0.0523
1.4617,0.0552
1.4549,0.0587
1.4537,0.0617
1.4474,0.0653
1.4399,0.069
1.4371,0.0724
1.4315,0.0761
1.4234,0.0801
1.4133,0.0845
1.4111,0.0879
1.4072,0.0915
1.4011,0.0955
1.3935,0.0997
