ALPHA,CL
-15.5,-0.7223
-15.25,-0.7608
-15,-0.7828
-14.75,-0.808
-14.5,-0.831
-14.25,-0.857
-14,-0.874
-13.75,-0.8937
-13.5,-0.9159
-13.25,-0.9234
-13,-0.9106
-12.75,-0.8987
-12.5,-0.884
-12.25,-0.8601
-12,-0.8444
-11.75,-0.8231
-11.5,-0.7951
-11.25,-0.7739
-11,-0.7501
-10.75,-0.7209
-10.5,-0.6912
-10.25,-0.6705
-10,-0.6443
-9.75,-0.6125
-9.5,-0.582
-9.25,-0.5475
-9,-0.5273
-8.75,-0.4983
-8.5,-0.4646
-8.25,-0.4266
-8,-0.3899
-7.75,-0.3704
-7.5,-0.3375
-7.25,-0.3013
-7,-0.2765
-6.75,-0.2465
-6.5,-0.2099
-6.25,-0.1889
-6,-0.1569
-5.75,-0.1314
-5.5,-0.1035
-5.25,-0.0768
-5,-0.0509
-4.75,-0.0246
-4.5,0.0009
-4,0.0518
-3.75,0.0753
-3.5,0.102
-3.25,0.124
-3,0.1491
-2.75,0.1725
-2.5,0.1962
-2.25,0.2201
-2,0.2427
-1.75,0.2663
-1.5,0.289
-1.25,0.3117
-1,0.3342
-0.75,0.3555
-0.5,0.3763
-0.25,0.3953
0,0.4127
0.25,0.4297
0.5,0.4468
0.75,0.4669
1,0.5376
1.25,0.6155
1.5,0.6568
1.75,0.6936
2,0.7343
2.25,0.7769
2.5,0.8247
2.75,0.8487
3,0.8663
3.25,0.8838
3.5,0.9013
3.75,0.9182
4,0.9353
4.25,0.9525
4.5,0.9704
4.75,0.9883
5,1.0049
5.25,1.0222
5.5,1.0363
5.75,1.0525
6,1.0667
6.25,1.0835
6.5,1.099
6.75,1.1161
7,1.1318
7.25,1.1489
7.5,1.164
7.75,1.1818
8,1.1969
8.25,1.2128
8.5,1.2288
8.75,1.2431
9,1.2562
9.25,1.2688
9.5,1.2808
9.75,1.2927
10,1.3049
10.25,1.3167
10.5,1.3281
10.75,1.3381
11.25,1.3593
11.5,1.3691
11.75,1.3789
12,1.3888
12.25,1.3969
12.5,1.4066
12.75,1.4156
13,1.4218
13.25,1.432
13.5,1.437
13.75,1.4457
14,1.4517
14.25,1.4562
14.5,1.4623
14.75,1.4646
15,1.4688
15.25,1.4697
15.5,1.4688
15.75,1.4685
16,1.4636
16.25,1.4617
16.5,1.4549
16.75,1.4537
17,1.4474
17.25,1.4399
17.5,1.4371
17.75,1.4315
18,1.4234
18.25,1.4133
18.5,1.4111
18.75,1.4072
19,1.4011
19.25,1.3935
